"","Zmienna","N","Srednia","Mediana","Min","Max","Odch_Std","Skosnosc","Kurtoza","Wsp_Zm_Proc","Gini","Klasa_Asymetrii","Klasa_Zmiennosci"
"46","x11",16,81.52,73.68,62.53,142.76,19.84,2.09,5.64,24.34,0.12,"silna prawostronna","mała zmienność"
"47","x10",16,83.64,83.1,81,87,1.49,0.73,0.68,1.78,0.01,"słaba/umiarkowana","bardzo mała zmienność"
"48","x09",16,29.66,28.4,12.7,51.6,11.07,0.49,-0.45,37.34,0.2,"słaba/umiarkowana","umiarkowana zmienność"
"49","x08",16,12.71,12.75,9.47,15.61,1.85,-0.06,-1.23,14.57,0.08,"słaba/umiarkowana","mała zmienność"
"50","x07",16,946.75,950,903,982,24.75,-0.38,-0.66,2.61,0.01,"słaba/umiarkowana","bardzo mała zmienność"
"51","x06",16,99.97,99.93,99.76,100.25,0.16,0.59,-0.73,0.16,0,"słaba/umiarkowana","bardzo mała zmienność"
"52","x05",16,99.55,99.51,99.33,99.82,0.15,0.33,-1.07,0.15,0,"słaba/umiarkowana","bardzo mała zmienność"
"53","x04",16,10.78,10.7,8.8,13.8,1.65,0.69,-0.74,15.34,0.08,"słaba/umiarkowana","mała zmienność"
"54","x03",16,4.26,4.28,2.23,6.42,1.23,0.03,-0.58,28.8,0.16,"słaba/umiarkowana","umiarkowana zmienność"
"55","x02",16,58.33,60.1,41.3,76.1,9.66,-0.18,-0.6,16.57,0.09,"słaba/umiarkowana","mała zmienność"
"56","x01",16,126.75,114.5,57,355,74.29,2.18,5.72,58.61,0.27,"silna prawostronna","duża zmienność"
